epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.75421,0.46422,0.57757,0.31626,0.79504,0.96964,0.99134,0.99385,0.89177,0.97832,0.97689,0.99356,0.73435,0.46096,0.70759,0.33204,0.79994,0.000647619,0.000647619,0.000647619
2,14.8697,0.54219,0.64945,0.35159,0.79737,0.99426,0.99134,0.99496,0.89075,0.98992,0.98701,0.9944,0.73162,0.50671,0.79464,0.33498,0.80605,0.00130127,0.00130127,0.00130127
3,20.2495,0.60466,0.75541,0.39265,0.80345,0.99134,0.99086,0.99478,0.8888,0.99134,0.99086,0.99478,0.74849,0.51079,0.70635,0.36373,0.80615,0.00194173,0.00194173,0.00194173
4,25.7108,0.60526,0.76015,0.40422,0.80903,0.99669,0.98701,0.99496,0.89377,0.99669,0.98701,0.99496,0.72873,0.5147,0.77001,0.35236,0.81195,0.0019406,0.0019406,0.0019406
5,30.4916,0.59634,0.72568,0.39265,0.81144,0.99564,0.98942,0.99496,0.86908,0.99564,0.98942,0.99496,0.75175,0.54473,0.7708,0.35877,0.81171,0.0019208,0.0019208,0.0019208
6,35.3181,0.59654,0.72491,0.3873,0.81538,0.99563,0.98519,0.99491,0.88348,0.99563,0.98519,0.99491,0.73151,0.54122,0.8088,0.3513,0.81544,0.001901,0.001901,0.001901
7,40.3091,0.57632,0.70532,0.37673,0.8124,0.9894,1,0.99491,0.88692,0.9894,1,0.99491,0.7413,0.48633,0.67192,0.34155,0.8068,0.0018812,0.0018812,0.0018812
8,44.9637,0.60273,0.75662,0.38915,0.81604,0.99141,0.99959,0.99478,0.87308,0.98712,0.99526,0.9927,0.71574,0.52929,0.78087,0.3448,0.81257,0.0018614,0.0018614,0.0018614
9,49.9501,0.57366,0.74036,0.37795,0.81457,0.9858,1,0.99491,0.87385,0.9858,1,0.99491,0.7444,0.51219,0.69575,0.34089,0.8129,0.0018416,0.0018416,0.0018416
10,55.0863,0.58427,0.72009,0.38417,0.80559,0.99565,0.98975,0.99491,0.88634,0.99129,0.98542,0.99448,0.70424,0.48927,0.71173,0.34392,0.80525,0.0018218,0.0018218,0.0018218
11,59.9545,0.56075,0.68039,0.37459,0.80133,0.99941,0.99134,0.995,0.88597,0.99941,0.99134,0.995,0.72693,0.47936,0.73359,0.34626,0.80409,0.001802,0.001802,0.001802
12,64.8425,0.53711,0.6805,0.35614,0.80314,0.99468,0.99567,0.9947,0.89376,0.99036,0.99134,0.99052,0.69895,0.44419,0.69529,0.32145,0.80161,0.0017822,0.0017822,0.0017822
13,69.788,0.54112,0.6947,0.35891,0.80631,0.99568,0.99681,0.99491,0.90067,0.99568,0.99681,0.99491,0.73122,0.47518,0.69153,0.3298,0.8033,0.0017624,0.0017624,0.0017624
14,75.0819,0.54114,0.67689,0.35944,0.80537,0.99014,0.99567,0.99491,0.89957,0.99014,0.99567,0.99491,0.75993,0.46823,0.6737,0.32094,0.80222,0.0017426,0.0017426,0.0017426
15,80.2737,0.56666,0.64103,0.36697,0.80727,0.99551,0.98701,0.99487,0.90253,0.99115,0.98268,0.99435,0.74996,0.48156,0.65459,0.33073,0.80689,0.0017228,0.0017228,0.0017228
16,85.3053,0.53627,0.63974,0.35341,0.80287,0.99932,0.98268,0.99487,0.89478,0.99932,0.98268,0.99487,0.755,0.47853,0.6907,0.32358,0.80345,0.001703,0.001703,0.001703
17,90.8286,0.52795,0.64604,0.36162,0.80712,0.99502,0.98701,0.99461,0.89758,0.99063,0.98268,0.99414,0.74611,0.47681,0.69932,0.32617,0.80437,0.0016832,0.0016832,0.0016832
18,95.9564,0.55555,0.68184,0.36097,0.79739,0.98216,1,0.99478,0.8908,0.97791,0.99567,0.9943,0.74849,0.48973,0.70884,0.32791,0.80708,0.0016634,0.0016634,0.0016634
19,100.88,0.57192,0.70096,0.35894,0.79879,0.99448,0.98701,0.99478,0.90678,0.99448,0.98701,0.99478,0.74194,0.46301,0.68374,0.32473,0.80028,0.0016436,0.0016436,0.0016436
20,105.759,0.56063,0.66228,0.36024,0.80301,0.99826,0.97835,0.99474,0.90871,0.99826,0.97835,0.99474,0.74712,0.44199,0.6586,0.3136,0.79594,0.0016238,0.0016238,0.0016238
21,110.847,0.56482,0.66355,0.36521,0.8038,0.99522,0.99134,0.99491,0.89211,0.99522,0.99134,0.99491,0.7602,0.51803,0.75455,0.32651,0.80716,0.001604,0.001604,0.001604
22,115.725,0.56282,0.66523,0.35737,0.8131,0.9913,0.98633,0.9947,0.90491,0.98695,0.98215,0.99377,0.72348,0.46166,0.64454,0.32407,0.80428,0.0015842,0.0015842,0.0015842
23,120.478,0.55561,0.65272,0.36224,0.80244,0.99017,0.98268,0.99434,0.88278,0.99017,0.98268,0.99434,0.74251,0.51349,0.67739,0.33644,0.80894,0.0015644,0.0015644,0.0015644
24,125.478,0.54507,0.6327,0.36436,0.8048,0.98664,0.99134,0.99452,0.90085,0.98264,0.98043,0.99314,0.73622,0.467,0.64178,0.32125,0.80312,0.0015446,0.0015446,0.0015446
25,130.235,0.5375,0.6269,0.35493,0.80311,0.98708,0.99198,0.99461,0.91105,0.99126,0.98248,0.99456,0.76138,0.45813,0.65758,0.31662,0.80325,0.0015248,0.0015248,0.0015248
26,135.216,0.55747,0.61667,0.35488,0.80724,0.98262,0.99567,0.99457,0.88078,0.98273,0.99134,0.99457,0.75338,0.51262,0.6683,0.31957,0.80811,0.001505,0.001505,0.001505
