epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.5779,0.40631,0.49339,0.26401,0.78331,0.99901,0.98701,0.99496,0.94372,0.99463,0.98268,0.99273,0.77678,0.34472,0.56172,0.23878,0.78525,0.00016,0.00016,0.00016
2,13.9806,0.40481,0.47265,0.26489,0.77814,0.99893,0.98701,0.99496,0.93919,0.99454,0.98268,0.99255,0.78494,0.35318,0.58781,0.25463,0.78623,0.000337745,0.000337745,0.000337745
3,16.6868,0.43289,0.50632,0.27332,0.78564,0.99565,0.99115,0.99496,0.94026,0.99565,0.99115,0.99496,0.77649,0.36445,0.56216,0.25583,0.787,0.000513101,0.000513101,0.000513101
4,19.1195,0.42634,0.49521,0.27554,0.78977,0.99565,0.99098,0.99496,0.93304,0.99565,0.99098,0.99496,0.77268,0.37993,0.57352,0.2579,0.78742,0.00068607,0.00068607,0.00068607
5,21.6368,0.41563,0.483,0.27275,0.79106,0.99527,0.99134,0.99496,0.92732,0.99527,0.99134,0.99496,0.7725,0.38799,0.56781,0.2628,0.78969,0.000856651,0.000856651,0.000856651
6,24.0471,0.42961,0.50219,0.2782,0.77716,0.99977,0.99134,0.995,0.93392,0.99977,0.99134,0.995,0.76838,0.39539,0.6092,0.27634,0.79011,0.00102484,0.00102484,0.00102484
7,26.4896,0.43908,0.5298,0.28717,0.78905,1,0.99531,0.995,0.92919,0.99565,0.99098,0.9937,0.76744,0.39414,0.58181,0.27283,0.78847,0.00119065,0.00119065,0.00119065
8,29.192,0.43293,0.50346,0.28576,0.7868,0.99892,0.99567,0.995,0.92967,0.99458,0.99134,0.99404,0.77706,0.39575,0.62043,0.26986,0.78959,0.00135406,0.00135406,0.00135406
9,32.1838,0.44964,0.54241,0.29097,0.78852,1,0.99114,0.995,0.9171,1,0.99114,0.995,0.78518,0.4212,0.61143,0.29048,0.79345,0.00151509,0.00151509,0.00151509
10,34.9985,0.46756,0.54422,0.29734,0.7891,1,0.98205,0.99487,0.92469,0.99559,0.97772,0.99313,0.75585,0.40271,0.66636,0.27672,0.79236,0.00167373,0.00167373,0.00167373
11,37.4481,0.46055,0.53831,0.29996,0.78392,0.99059,0.99134,0.99478,0.91912,0.98627,0.98701,0.99368,0.77721,0.39365,0.64525,0.2706,0.79052,0.00182999,0.00182999,0.00182999
