epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.7089,1.27598,1.91116,3.39804,0.97283,0.0186,0.74892,0.02029,0.01394,0.02194,0.88312,0.03422,0.02035,0.87505,1.4503,3.40078,0.84398,0.00016,0.00016,0.00016
2,14.1272,0.98579,1.3786,2.28877,0.8517,0.0243,0.97835,0.43891,0.20479,0.0243,0.97835,0.4885,0.29181,0.85248,1.22203,3.28876,0.81974,0.000337745,0.000337745,0.000337745
3,16.666,0.96815,1.20048,1.2637,0.84397,0.02441,0.98268,0.50444,0.2599,0.02441,0.98268,0.55304,0.39979,0.84656,1.04853,3.18281,0.8121,0.000513101,0.000513101,0.000513101
4,19.1707,0.91342,1.09605,0.97324,0.84765,0.02419,0.97403,0.32506,0.14029,0.0243,0.97835,0.39832,0.2556,0.87332,1.05609,3.17194,0.81628,0.00068607,0.00068607,0.00068607
5,21.9557,0.84596,1.03677,0.89382,0.8563,0.02376,0.95671,0.07443,0.0517,0.02409,0.9697,0.1169,0.07507,0.74221,0.99954,3.18514,0.81873,0.000856651,0.000856651,0.000856651
6,24.5617,0.8035,0.99955,0.83793,0.83565,0.02387,0.96104,0.22195,0.17227,0.02398,0.96537,0.25124,0.184,0.76901,1.15561,3.02417,0.81042,0.00102484,0.00102484,0.00102484
7,26.9966,0.78687,0.98218,0.79779,0.83926,0.0243,0.97835,0.41564,0.33059,0.02441,0.98268,0.46455,0.33938,0.78806,1.29207,2.91341,0.81324,0.00119065,0.00119065,0.00119065
8,29.5277,0.77771,0.95968,0.77336,0.83784,0.96433,0.58514,0.69333,0.53387,0.95719,0.58081,0.69801,0.519,0.76598,0.97015,2.78208,0.81266,0.00135406,0.00135406,0.00135406
9,32.1193,0.75649,0.92948,0.7291,0.83634,0.98008,0.48918,0.8847,0.68632,0.98008,0.48918,0.87645,0.59485,0.80186,1.12722,2.63094,0.81614,0.00151509,0.00151509,0.00151509
10,34.6544,0.75765,0.91806,0.7039,0.83338,1,0.24851,0.91152,0.66041,1,0.24851,0.91169,0.66618,0.84521,1.00411,2.52609,0.81872,0.00167373,0.00167373,0.00167373
11,37.1177,0.78147,0.94325,0.69866,0.83247,1,0.43686,0.94473,0.73251,1,0.43686,0.94036,0.65858,0.75414,0.90678,2.35049,0.80911,0.00182999,0.00182999,0.00182999
12,39.5516,0.84263,0.96941,0.7186,0.84431,0.99267,0.58631,0.96284,0.69122,0.99267,0.58631,0.96569,0.60483,0.81424,0.99151,2.26166,0.82179,0.00185407,0.00185407,0.00185407
13,42.1139,0.79067,0.98131,0.71302,0.83899,0.98889,0.77079,0.97109,0.7134,0.98889,0.77079,0.97163,0.71003,0.77313,0.93252,1.95128,0.82302,0.0018408,0.0018408,0.0018408
14,44.5802,0.77114,0.96357,0.69194,0.84152,0.99418,0.73953,0.97523,0.75504,0.99418,0.73953,0.97523,0.685,0.71569,0.88628,1.91032,0.82103,0.00182753,0.00182753,0.00182753
15,47.0951,0.78508,0.93158,0.669,0.8381,0.99015,0.87065,0.97127,0.75202,0.98523,0.86632,0.96441,0.65753,0.74766,0.95855,1.62251,0.83082,0.00181427,0.00181427,0.00181427
16,49.4945,0.73433,0.88841,0.65825,0.8447,0.95079,0.8365,0.94586,0.73479,0.95079,0.8365,0.94586,0.67735,0.72818,0.95336,1.53311,0.82495,0.001801,0.001801,0.001801
17,51.9672,0.77576,0.9518,0.65917,0.84184,0.95122,0.92849,0.95079,0.77099,0.95565,0.93282,0.95347,0.63991,0.71148,1.05225,1.17383,0.83245,0.00178773,0.00178773,0.00178773
18,54.4015,0.7126,0.89368,0.60997,0.82682,0.96146,0.97199,0.99041,0.81797,0.95718,0.96766,0.98887,0.69294,0.64787,0.87798,0.77899,0.81856,0.00177447,0.00177447,0.00177447
19,56.7818,0.69373,0.88094,0.60993,0.82625,0.92505,0.98268,0.97985,0.8156,0.9169,0.97403,0.9769,0.69016,0.60285,0.85258,0.83821,0.81396,0.0017612,0.0017612,0.0017612
20,59.3643,0.70073,0.87037,0.60486,0.83018,0.94924,0.97145,0.98406,0.81019,0.94924,0.97145,0.98406,0.73874,0.66571,0.79831,0.65308,0.82005,0.00174793,0.00174793,0.00174793
21,62.1129,0.72804,0.89407,0.60126,0.82484,0.96968,0.95238,0.98964,0.82485,0.96968,0.95238,0.98964,0.67859,0.65959,0.91177,0.58825,0.8165,0.00173467,0.00173467,0.00173467
22,64.6665,0.73741,0.88906,0.58613,0.82394,0.9449,0.97835,0.98986,0.82387,0.94072,0.97403,0.98919,0.73236,0.64967,0.83405,0.58128,0.82111,0.0017214,0.0017214,0.0017214
23,67.2257,0.75223,0.87562,0.59651,0.83397,0.95353,0.97719,0.98705,0.81649,0.95353,0.97719,0.98705,0.65118,0.66246,0.87861,0.60857,0.82193,0.00170813,0.00170813,0.00170813
24,69.658,0.73625,0.92374,0.60789,0.83396,0.96194,0.9847,0.99266,0.82754,0.95771,0.98037,0.99229,0.67147,0.64066,0.96015,0.58876,0.81738,0.00169487,0.00169487,0.00169487
25,72.0767,0.67401,0.85393,0.5718,0.82297,0.9781,0.96692,0.99233,0.8442,0.9781,0.96692,0.99233,0.71405,0.60858,0.75569,0.54056,0.81846,0.0016816,0.0016816,0.0016816
26,74.6143,0.71801,0.90642,0.5555,0.82647,0.96566,0.9697,0.99099,0.83069,0.95959,0.9697,0.98966,0.68858,0.65359,1.03055,0.54038,0.82463,0.00166833,0.00166833,0.00166833
27,77.0895,0.68907,0.88243,0.56812,0.82969,0.978,0.96241,0.99098,0.84283,0.978,0.96241,0.99098,0.69047,0.59088,0.80623,0.55014,0.81522,0.00165507,0.00165507,0.00165507
28,79.5332,0.67354,0.85057,0.5487,0.82108,0.95868,0.98701,0.98984,0.83791,0.95868,0.98701,0.98984,0.69338,0.59687,0.81754,0.51967,0.81891,0.0016418,0.0016418,0.0016418
29,81.9533,0.66459,0.82123,0.52811,0.82355,0.97006,0.98187,0.9927,0.85544,0.97006,0.98187,0.9927,0.70409,0.55938,0.73452,0.50068,0.81267,0.00162853,0.00162853,0.00162853
30,84.3877,0.67239,0.81099,0.52538,0.81788,0.96992,0.97699,0.99197,0.84238,0.96992,0.97699,0.98859,0.66898,0.57472,0.90183,0.4984,0.81512,0.00161527,0.00161527,0.00161527
31,86.7242,0.67603,0.77421,0.52898,0.82367,0.97848,0.98436,0.99277,0.84134,0.97848,0.98436,0.99277,0.7066,0.58267,0.74914,0.51078,0.815,0.001602,0.001602,0.001602
32,89.2151,0.67744,0.80479,0.5291,0.82802,0.9788,0.97835,0.99274,0.84981,0.98688,0.97684,0.99313,0.67001,0.5826,0.8875,0.50125,0.81635,0.00158873,0.00158873,0.00158873
33,91.7619,0.65728,0.82445,0.52522,0.81851,0.97659,0.98701,0.99401,0.84262,0.97659,0.98701,0.99401,0.71832,0.60322,0.77529,0.49683,0.81867,0.00157547,0.00157547,0.00157547
34,94.1731,0.64126,0.78872,0.50931,0.81207,0.98664,0.9697,0.99257,0.85709,0.99114,0.96841,0.99208,0.69068,0.54887,0.77963,0.47111,0.81124,0.0015622,0.0015622,0.0015622
35,96.6132,0.63302,0.77996,0.49808,0.82011,0.99126,0.98216,0.99435,0.85921,0.98689,0.97783,0.99118,0.73038,0.53544,0.72742,0.44696,0.80782,0.00154893,0.00154893,0.00154893
36,99.0896,0.6146,0.74881,0.48435,0.80791,0.99129,0.98547,0.99422,0.86069,0.99129,0.98547,0.99422,0.72142,0.52944,0.73805,0.44549,0.80778,0.00153567,0.00153567,0.00153567
37,101.415,0.62004,0.76855,0.49603,0.81755,0.97844,0.98245,0.99282,0.85205,0.97844,0.98245,0.99282,0.68843,0.56097,0.77319,0.47274,0.8146,0.0015224,0.0015224,0.0015224
38,103.858,0.62225,0.7605,0.49441,0.81573,0.97424,0.98215,0.99321,0.85314,0.97424,0.98215,0.99321,0.71404,0.56052,0.80136,0.45759,0.81133,0.00150913,0.00150913,0.00150913
39,106.227,0.64529,0.7598,0.49951,0.81596,0.98273,0.98553,0.9935,0.85154,0.97842,0.9812,0.99269,0.66709,0.56513,0.78229,0.47706,0.81087,0.00149587,0.00149587,0.00149587
40,108.674,0.63504,0.76607,0.49731,0.81159,0.98236,0.98268,0.99255,0.84491,0.98236,0.98268,0.99255,0.69972,0.58683,0.83896,0.48971,0.8177,0.0014826,0.0014826,0.0014826
41,111.065,0.64082,0.75688,0.487,0.81337,0.96951,0.96351,0.99065,0.84666,0.96516,0.95932,0.98543,0.65409,0.5877,0.73277,0.52617,0.81981,0.00146933,0.00146933,0.00146933
42,113.538,0.64906,0.77536,0.48272,0.82093,0.97378,0.98268,0.99221,0.85401,0.96949,0.97835,0.9907,0.67496,0.58158,0.84247,0.50666,0.82044,0.00145607,0.00145607,0.00145607
43,115.924,0.63039,0.76596,0.48121,0.81688,0.9712,0.98701,0.99346,0.86865,0.96694,0.98268,0.99262,0.7225,0.51463,0.73537,0.45708,0.81291,0.0014428,0.0014428,0.0014428
44,118.367,0.61624,0.82461,0.49057,0.82003,0.98683,0.97343,0.99387,0.85959,0.98683,0.97343,0.99387,0.70709,0.54101,0.8029,0.46476,0.81335,0.00142953,0.00142953,0.00142953
45,120.737,0.58685,0.78941,0.4756,0.81384,0.98885,0.98268,0.99444,0.87606,0.98885,0.98268,0.99444,0.70933,0.49027,0.73818,0.43352,0.80584,0.00141627,0.00141627,0.00141627
46,123.132,0.60253,0.79082,0.46751,0.81106,0.98703,0.98817,0.9947,0.86624,0.9827,0.98384,0.99383,0.70997,0.52719,0.76694,0.41656,0.80799,0.001403,0.001403,0.001403
47,125.763,0.62168,0.76692,0.44996,0.81004,0.99805,0.98268,0.99487,0.87484,0.99805,0.98268,0.99487,0.73127,0.50061,0.70981,0.40097,0.8073,0.00138973,0.00138973,0.00138973
48,128.386,0.57155,0.73261,0.44294,0.81086,0.99318,0.98701,0.9947,0.87767,0.98875,0.98268,0.99364,0.7224,0.50166,0.70386,0.41311,0.80691,0.00137647,0.00137647,0.00137647
49,130.759,0.5835,0.725,0.44139,0.81101,0.99002,0.98701,0.99443,0.87244,0.99002,0.98701,0.99443,0.71414,0.53084,0.74459,0.42108,0.80801,0.0013632,0.0013632,0.0013632
50,133.07,0.59148,0.72215,0.43337,0.81482,0.97771,0.99134,0.99408,0.88179,0.97344,0.98701,0.99382,0.73276,0.48124,0.68937,0.39565,0.80427,0.00134993,0.00134993,0.00134993
51,135.461,0.58678,0.73831,0.4451,0.81025,0.99354,0.97835,0.99383,0.88305,0.99354,0.97835,0.99383,0.72324,0.49217,0.69567,0.40099,0.80492,0.00133667,0.00133667,0.00133667
52,137.858,0.5703,0.70781,0.43893,0.80944,0.97044,0.9947,0.99108,0.88294,0.97044,0.9947,0.99108,0.74318,0.48059,0.65986,0.40892,0.79829,0.0013234,0.0013234,0.0013234
53,140.159,0.57385,0.7073,0.43747,0.80766,0.96621,0.99024,0.98671,0.86235,0.96198,0.98591,0.98631,0.73321,0.50887,0.65482,0.41254,0.80091,0.00131013,0.00131013,0.00131013
54,142.629,0.59136,0.73786,0.44044,0.80564,0.96883,0.97835,0.99056,0.86774,0.96883,0.97835,0.99056,0.72989,0.51583,0.72178,0.41027,0.80331,0.00129687,0.00129687,0.00129687
55,145.001,0.60059,0.73106,0.44702,0.81787,0.96703,0.97403,0.99297,0.86079,0.96703,0.97403,0.99297,0.6911,0.52305,0.7546,0.41412,0.80482,0.0012836,0.0012836,0.0012836
56,147.436,0.56891,0.75229,0.43941,0.81276,0.97444,0.99023,0.994,0.88402,0.97444,0.99023,0.994,0.72763,0.48545,0.67531,0.39928,0.80139,0.00127033,0.00127033,0.00127033
57,149.828,0.56955,0.71009,0.4298,0.80147,0.98666,0.97403,0.99392,0.87436,0.98666,0.97403,0.99392,0.71914,0.505,0.68209,0.39569,0.80004,0.00125707,0.00125707,0.00125707
58,152.306,0.58718,0.71485,0.43198,0.8072,0.99144,0.97403,0.9944,0.87801,0.98668,0.9697,0.99344,0.69284,0.49353,0.6697,0.38911,0.79946,0.0012438,0.0012438,0.0012438
59,154.592,0.57573,0.70493,0.42115,0.81144,0.96629,0.99281,0.99292,0.88243,0.96629,0.99281,0.99292,0.73128,0.49821,0.6478,0.39676,0.80284,0.00123053,0.00123053,0.00123053
60,157.239,0.55856,0.69705,0.41554,0.80587,0.97552,0.99134,0.99382,0.88173,0.97116,0.98701,0.99348,0.72511,0.48372,0.66466,0.37719,0.80162,0.00121727,0.00121727,0.00121727
61,159.781,0.56429,0.72219,0.41781,0.80849,0.9913,0.98621,0.99491,0.87398,0.98695,0.98188,0.99428,0.702,0.51681,0.72921,0.37797,0.80243,0.001204,0.001204,0.001204
62,162.163,0.55308,0.7099,0.41447,0.80665,1,0.98978,0.995,0.88641,1,0.98978,0.995,0.73595,0.48092,0.66777,0.36509,0.80116,0.00119073,0.00119073,0.00119073
63,164.593,0.55602,0.69901,0.40735,0.80466,1,0.97995,0.99479,0.88563,1,0.97995,0.99479,0.72181,0.48707,0.7204,0.37799,0.8015,0.00117747,0.00117747,0.00117747
64,167.243,0.55466,0.70173,0.40506,0.80513,0.99395,0.97835,0.99431,0.89002,0.98955,0.97403,0.98981,0.71628,0.47019,0.66883,0.37242,0.80206,0.0011642,0.0011642,0.0011642
65,169.716,0.57118,0.7118,0.41431,0.80936,0.97992,0.97403,0.99334,0.87012,0.97992,0.97403,0.99334,0.69185,0.52654,0.75083,0.389,0.80993,0.00115093,0.00115093,0.00115093
66,172.062,0.57172,0.75929,0.41281,0.80721,0.97793,0.97403,0.99298,0.87977,0.97793,0.97403,0.99298,0.71476,0.47199,0.69353,0.37868,0.80435,0.00113767,0.00113767,0.00113767
67,174.476,0.55658,0.72682,0.41086,0.80438,0.98124,0.97403,0.99353,0.8729,0.98124,0.97403,0.99353,0.71561,0.48778,0.7099,0.37231,0.80564,0.0011244,0.0011244,0.0011244
